"Name","SI","Handles","VM","WS","PM","NPM","Path","CommandLine","Parent","Company","CPU","FileVersion","ProductVersion","Description","Product","__NounName","SafeHandle","Handle","BasePriority","ExitCode","HasExited","StartTime","ExitTime","Id","MachineName","MaxWorkingSet","MinWorkingSet","Modules","NonpagedSystemMemorySize64","NonpagedSystemMemorySize","PagedMemorySize64","PagedMemorySize","PagedSystemMemorySize64","PagedSystemMemorySize","PeakPagedMemorySize64","PeakPagedMemorySize","PeakWorkingSet64","PeakWorkingSet","PeakVirtualMemorySize64","PeakVirtualMemorySize","PriorityBoostEnabled","PriorityClass","PrivateMemorySize64","PrivateMemorySize","ProcessorAffinity","SessionId","StartInfo","Threads","HandleCount","VirtualMemorySize64","VirtualMemorySize","EnableRaisingEvents","StandardInput","StandardOutput","StandardError","WorkingSet64","WorkingSet","SynchronizingObject","MainModule","MainWindowHandle","MainWindowTitle","Responding","ProcessName","PrivilegedProcessorTime","TotalProcessorTime","UserProcessorTime","Site","Container"
"","1527","0","0","0","0","0",,"",,,,,,,,"Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","2676","0",,"False",,,"0",".",,,"System.Diagnostics.ProcessModuleCollection","0","0","0","0","0","0","0","0","0","0","0","0","False","Normal","0","0",,"1527",,"System.Diagnostics.ProcessThreadCollection","0","0","0","False",,,,"0","0",,,"0","","True","",,,,,
"accessoryupdaterd","330","0","0","0","0","0","/System/Library/PrivateFrameworks/MobileAccessoryUpdater.framework/Support/accessoryupdaterd","",,,,,,,,"Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","2728","0",,"False",,,"330",".",,,"System.Diagnostics.ProcessModuleCollection","0","0","0","0","0","0","0","0","0","0","0","0","False","Normal","0","0",,"330",,"System.Diagnostics.ProcessThreadCollection","0","0","0","False",,,,"0","0",,"System.Diagnostics.ProcessModule (accessoryupdaterd)","0","","True","accessoryupdaterd",,,,,
"accountsd","1","0","437201616896","9650176","0","0","/System/Library/Frameworks/Accounts.framework/Versions/A/Support/accountsd","",,,"0.3251666",,,,,"Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","2764","0",,"False","10/09/2025 11:53:07 AM",,"706",".",,,"System.Diagnostics.ProcessModuleCollection","0","0","0","0","0","0","0","0","0","0","0","0","False","Normal","0","0",,"1",,"System.Diagnostics.ProcessThreadCollection","0","437201616896","-885047296","False",,,,"9650176","9650176",,"System.Diagnostics.ProcessModule (accountsd)","0","","True","accountsd","00:00:00.1260666","00:00:00.3251666","00:00:00.1991000",,
"acnvmagent","476","0","0","0","0","0","/opt/cisco/anyconnect/NVM/bin/acnvmagent","",,,,,,,,"Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","2800","0",,"False",,,"956",".",,,"System.Diagnostics.ProcessModuleCollection","0","0","0","0","0","0","0","0","0","0","0","0","False","Normal","0","0",,"476",,"System.Diagnostics.ProcessThreadCollection","0","0","0","False",,,,"0","0",,"System.Diagnostics.ProcessModule (acnvmagent)","0","","True","acnvmagent",,,,,
"acumbrellaagent","476","0","0","0","0","0","/opt/cisco/anyconnect/bin/acumbrellaagent","",,,,,,,,"Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","2836","0",,"False",,,"957",".",,,"System.Diagnostics.ProcessModuleCollection","0","0","0","0","0","0","0","0","0","0","0","0","False","Normal","0","0",,"476",,"System.Diagnostics.ProcessThreadCollection","0","0","0","False",,,,"0","0",,"System.Diagnostics.ProcessModule (acumbrellaagent)","0","","True","acumbrellaagent",,,,,
"AddressBookSourceSync","1","0","437204926464","16695296","0","0","/System/Library/Frameworks/AddressBook.framework/Versions/A/Helpers/AddressBookSourceSync.app/Contents/MacOS/AddressBookSourceSync","",,,"0.1344958",,,,,"Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","2876","0",,"False","10/09/2025 11:58:17 AM",,"3820",".",,,"System.Diagnostics.ProcessModuleCollection","0","0","0","0","0","0","0","0","0","0","0","0","False","Normal","0","0",,"1",,"System.Diagnostics.ProcessThreadCollection","0","437204926464","-881737728","False",,,,"16695296","16695296",,"System.Diagnostics.ProcessModule (AddressBookSourceSync)","0","","True","AddressBookSourceSync","00:00:00.0556833","00:00:00.1344958","00:00:00.0788083",,
"adid","928","0","0","0","0","0","/System/Library/PrivateFrameworks/CoreADI.framework/Versions/A/adid","",,,,,,,,"Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","2912","0",,"False",,,"928",".",,,"System.Diagnostics.ProcessModuleCollection","0","0","0","0","0","0","0","0","0","0","0","0","False","Normal","0","0",,"928",,"System.Diagnostics.ProcessThreadCollection","0","0","0","False",,,,"0","0",,"System.Diagnostics.ProcessModule (adid)","0","","True","adid",,,,,
"adprivacyd","1","0","437201174528","12075008","0","0","/usr/libexec/adprivacyd","",,,"0.227825",,,,,"Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","2960","0",,"False","10/09/2025 11:53:40 AM",,"1387",".",,,"System.Diagnostics.ProcessModuleCollection","0","0","0","0","0","0","0","0","0","0","0","0","False","Normal","0","0",,"1",,"System.Diagnostics.ProcessThreadCollection","0","437201174528","-885489664","False",,,,"12075008","12075008",,"System.Diagnostics.ProcessModule (adprivacyd)","0","","True","adprivacyd","00:00:00.0817458","00:00:00.2278250","00:00:00.1460750",,
"AirPlayUIAgent","1","0","421245976576","12992512","0","0","/System/Library/CoreServices/AirPlayUIAgent.app/Contents/MacOS/AirPlayUIAgent","",,,"0.1002666",,,,,"Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","3012","0",,"False","10/09/2025 11:53:14 AM",,"871",".",,,"System.Diagnostics.ProcessModuleCollection","0","0","0","0","0","0","0","0","0","0","0","0","False","Normal","0","0",,"1",,"System.Diagnostics.ProcessThreadCollection","0","421245976576","339181568","False",,,,"12992512","12992512",,"System.Diagnostics.ProcessModule (AirPlayUIAgent)","0","","True","AirPlayUIAgent","00:00:00.0495791","00:00:00.1002666","00:00:00.0506833",,
"AirPlayXPCHelper","388","0","0","0","0","0","/usr/libexec/AirPlayXPCHelper","",,,,,,,,"Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","3048","0",,"False",,,"388",".",,,"System.Diagnostics.ProcessModuleCollection","0","0","0","0","0","0","0","0","0","0","0","0","False","Normal","0","0",,"388",,"System.Diagnostics.ProcessThreadCollection","0","0","0","False",,,,"0","0",,"System.Diagnostics.ProcessModule (AirPlayXPCHelper)","0","","True","AirPlayXPCHelper",,,,,
