"Name","Id","CPU"
"","0",
"accessoryupdaterd","330",
"accountsd","706","0.3563916"
"acnvmagent","956",
"acumbrellaagent","957",
"adid","928",
"adprivacyd","1387","0.239625"
"AirPlayUIAgent","871","0.1093333"
"AirPlayXPCHelper","388",
"airportd","410",
"akd","825","0.1798666"
"amfid","336",
"AMPDeviceDiscoveryAgent","850","0.1036375"
"amsaccountsd","879","0.2679833"
"amsengagementd","738","0.3346291"
"amsondevicestoraged","1384","0.2136541"
"analyticsagent","3921","0.4273958"
"analyticsd","405",
"aned","979",
"aneuserd","1000",
"apfsd","443",
"APFSUserAgent","726","0.0443166"
"appleaccountd","805","0.2825833"
"AppleCredentialManagerDaemon","376",
"AppleDeviceQueryService","531",
"appleeventsd","547",
"appleh13camerad","528",
"applekeystored","681",
"AppleSpell","1321","5.6966333"
"AppPredictionIntentsHelperService","1398","0.4806041"
"AppSSOAgent","717","0.1906"
"AppSSODaemon","725",
"appstoreagent","1001","1.3133291"
"appstorecomponentsd","1519","0.7348375"
"apsd","362",
"askpermissiond","867","0.1706041"
"aslmanager","390",
"ASPCarryLog","3852",
"AssetCache","1004",
"AssetCacheLocatorService","1040",
"AssetCacheLocatorService","4374","0.1725458"
"AssetCacheTetheratorService","1006",
"assistantd","767","1.3440458"
"assistant_cdmd","782","0.506175"
"assistant_service","1423","0.9826083"
"AUCrashHandlerService","1409","0.0786166"
"audioaccessoryd","694","0.3233458"
"audioanalyticsd","632",
"audioclocksyncd","522",
"AudioComponentRegistrar","428",
"AudioComponentRegistrar","885","0.1279458"
"audiomxd","633",
"AudiovisualThumbnailExtension","1503","0.2610708"
"auditd","367",
"authd","440",
"autofsd","372",
"automountd","849",
"avconferenced","986","0.1661375"
"awdd","775",
"axassetsd","854","2.2122875"
"BackgroundTaskManagementAgent","1391","0.1908541"
"backgroundtaskmanagementd","433",
"BackgroundTaskManagementSubscriber","3328",
"backupd","526",
"backupd-helper","408",
"BatteriesAvocadoWidgetExtension","791","0.6382125"
"betaenrollmentagent","3887","0.075775"
"betaenrollmentd","3889",
"BiomeAgent","812","3.1998666"
"biomed","442",
"BiomeSELFIngestor","4007","0.0719291"
"biometrickitd","509",
"bird","770","0.2584333"
"bluetoothd","384",
"bluetoothuserd","965","0.1122125"
"bootinstalld","555",
"businessservicesd","3908","0.1143291"
"calaccessd","741","0.6020375"
"CalendarIntentsExtension","1393","0.0684375"
"CalendarWidgetExtension","776","0.3035375"
"CallHistoryPluginHelper","913","0.1146916"
"CallHistorySyncHelper","1112","0.1049"
"callservicesd","709","0.6003541"
"cameracaptured","529",
"captiveagent","735",
"CarbonComponentScannerXPC","894","1.5659708"
"CategoriesService","5007","0.0470625"
"cdpd","755","0.1338166"
"cfprefsd","394",
"cfprefsd","548",
"cfprefsd","565",
"cfprefsd","569",
"cfprefsd","684","3.6667291"
"cfprefsd","1348",
"cfprefsd","3295",
"chrome_crashpad_handler","1430","0.0318125"
"chrome_crashpad_handler","2717","0.0225916"
"chronod","737","1.8602083"
"cloudd","707","1.3108666"
"cloudd","915",
"CloudTelemetryService","981","0.2124666"
"CloudTelemetryService","1030",
"CloudTelemetryService","1045","0.0887083"
"CloudTelemetryService","1155",
"CloudTelemetryService","3345","0.0966666"
"CMFSyncAgent","966","0.0293625"
"Code Helper","1432","0.400525"
"Code Helper","1469","1.9497041"
"Code Helper","1470","0.7382166"
"Code Helper","2481","4.8026125"
"Code Helper (GPU)","1431","1.643625"
"Code Helper (Plugin)","2480","5.6137375"
"Code Helper (Renderer)","1435","8.2275958"
"colorsync.displayservices","538",
"colorsync.useragent","1047","0.03475"
"colorsyncd","542",
"com.apple.accessibility.mediaaccessibilityd","1354",
"com.apple.accessibility.mediaaccessibilityd","1364","0.0383875"
"com.apple.AmbientDisplayAgent","796",
"com.apple.appkit.xpc.openAndSavePanelService","3513","0.7506625"
"com.apple.AppleUserHIDDrivers","539",
"com.apple.AppStoreDaemon.StorePrivilegedODRService","1011",
"com.apple.audio.ComponentTagHelper","1401","0.0360708"
"com.apple.audio.Core-Audio-Driver-Service.helper","520",
"com.apple.audio.Core-Audio-Driver-Service.helper","552",
"com.apple.audio.DriverHelper","519",
"com.apple.audio.SandboxHelper","438",
"com.apple.audio.SandboxHelper","620",
"com.apple.audio.SandboxHelper","1408","0.0332375"
"com.apple.audio.SandboxHelper","1412","0.0212875"
"com.apple.audio.SandboxHelper","1417","0.029925"
"com.apple.audio.SandboxHelper","1418","0.0280375"
"com.apple.audio.SandboxHelper","1419","0.0270875"
"com.apple.audio.SandboxHelper","1420","0.0228166"
"com.apple.audio.SandboxHelper","1524","0.058725"
"com.apple.audio.SandboxHelper","3013","0.0237375"
"com.apple.audio.SandboxHelper","3109","0.0266916"
"com.apple.cmio.registerassistantservice","389",
"com.apple.CodeSigningHelper","506",
"com.apple.ColorSyncXPCAgent","541",
"com.apple.ColorSyncXPCAgent","802",
"com.apple.ColorSyncXPCAgent","1048","0.0163791"
"com.apple.DictionaryServiceHelper","1395","0.0252833"
"com.apple.dock.extra","908","0.5150625"
"com.apple.DriverKit-AppleBCMWLAN","534",
"com.apple.DriverKit-IOUserDockChannelSerial","537",
"com.apple.FaceTime.FTConversationService","934","0.067775"
"com.apple.geod","544",
"com.apple.geod","564",
"com.apple.geod","788","0.3665833"
"com.apple.hiservices-xpcservice","723","3.0719208"
"com.apple.hiservices-xpcservice","1203",
"com.apple.hiservices-xpcservice","1345",
"com.apple.ifdreader","436",
"com.apple.MobileSoftwareUpdate.CleanupPreparePathService","562",
"com.apple.MobileSoftwareUpdate.UpdateBrainService","587",
"com.apple.Notes.WidgetExtension","801","0.042925"
"com.apple.NRD.UpdateBrainService","1242",
"com.apple.quicklook.ThumbnailsAgent","845","1.3499375"
"com.apple.sbd","701","0.032125"
"com.apple.siri.embeddedspeech","1035","1.80815"
"com.apple.SiriTTSService.TrialProxy","990","0.0987333"
"com.apple.SiriTTSService.TrialProxy","1411","0.0460041"
"com.apple.SiriTTSService.TrialProxy","1421","0.0440041"
"com.apple.SiriTTSService.TrialProxy","3154","0.0667375"
"com.apple.WebKit.GPU","3487","0.1856333"
"com.apple.WebKit.Networking","3110","0.151825"
"com.cisco.anyconnect.macos.acsockext","524",
"com.docker.vmnetd","479",
"com.sentinelone.network-monitoring","556",
"com.teamviewer.KeychainService","1039","0.0205458"
"CommCenter","724","0.2630958"
"commerce","916","0.0912833"
"configd","331",
"contactsd","828","0.6895333"
"contactsdonationagent","988","0.1078833"
"containermanagerd","553",
"containermanagerd","554",
"containermanagerd","576",
"containermanagerd","720","0.8658916"
"containermanagerd","3301",
"containermanagerd_system","418",
"contentlinkingd","3133","0.1376875"
"ContextService","999","0.0954166"
"ContextStoreAgent","814","4.5134833"
"contextstored","398",
"ContinuityCaptureAgent","704","0.1439958"
"ControlCenter","836","3.4614583"
"ControlStrip","728","0.5377791"
"coreaudiod","412",
"coreauthd","675",
"coreauthd","757","0.0804416"
"corebrightnessd","387",
"coreduetd","355",
"corekdld","686",
"CoreLocationAgent","746","0.2367791"
"coreservicesd","399",
"CoreServicesUIAgent","695","0.4057916"
"corespeechd","768","18.909"
"corespeechd_system","342",
"corespotlightd","906","3.2476916"
"coresymbolicationd","597",
"countryd","540",
"CrashReporterSupportHelper","1416",
"cryptexd","508",
"csnameddatad","403",
"csnameddatad","572",
"csnameddatad","703","0.0192333"
"csnameddatad","3299",
"ctkahp","881",
"ctkahp","922","0.0700458"
"ctkd","833","0.1067291"
"ctkd","841",
"CursorUIViewService","898","2.1013875"
"CVMServer","920",
"dasd","373",
"dataaccessd","3317","0.3128625"
"deleted","816","1.1942208"
"deleted_helper","977",
"diagnosticextensionsd","1388","0.1735416"
"diagnostics_agent","877","0.2063041"
"dirhelper","378",
"diskarbitrationd","351",
"DiskManagementSubscriber","3331",
"distnoted","375",
"distnoted","407",
"distnoted","429",
"distnoted","441",
"distnoted","525",
"distnoted","545",
"distnoted","560",
"distnoted","561",
"distnoted","589",
"distnoted","601",
"distnoted","635",
"distnoted","644",
"distnoted","682","1.2711"
"distnoted","998",
"distnoted","1136",
"distnoted","1241",
"distnoted","1326",
"distnoted","3283",
"distnoted","3323",
"dmd","742","0.2257708"
"Dock","835","3.5991583"
"donotdisturbd","760","0.4289333"
"duetexpertd","744","6.0970833"
"ecosystemanalyticsd","905",
"Electron","1426","4.02145"
"eligibilityd","427",
"EmojiFunctionRowIM_Extension","971","0.256325"
"endpointsecurityd","332",
"extensionkitservice","758","0.4218458"
"extensionkitservice","891","0.0228083"
"extensionkitservice","1346","0.6277625"
"extensionkitservice","1392","0.0482708"
"extensionkitservice","3926","0.0450125"
"extensionkitservice","4003","0.11565"
"fairplayd","1129",
